Borough,Census Tract,Population
Bronx,039902,4960
Bronx,040100,5302
Bronx,040302,4558
Bronx,040303,4697
Bronx,040304,3861
Bronx,040400,2904
Bronx,040501,4195
Bronx,040502,6983
Bronx,040600,3398
Bronx,040701,3309
Bronx,040702,6718
Bronx,040800,4014
Bronx,040900,3499
Bronx,041100,2701
Bronx,041300,7515
Bronx,041400,5040
Bronx,041500,5635
Bronx,041800,3587
Bronx,041900,6736
Bronx,042000,3788
Bronx,042100,6831
Bronx,042200,2694
Bronx,042300,3929
Bronx,042400,2570
Bronx,042500,6530
Bronx,042600,6470
Bronx,042800,2239
Bronx,042901,3269
Bronx,042902,3637
Bronx,043000,2961
Bronx,043100,9885
Bronx,043400,3756
Bronx,043500,0
Bronx,043600,2334
Bronx,044200,3715
Bronx,044400,3937
Bronx,044800,1836
Bronx,044901,1973
Bronx,044902,1992
Bronx,045101,1800
Bronx,045102,1943
Bronx,045600,2883
Bronx,045800,7329
Bronx,046000,2693
Bronx,046201,24523
Bronx,046202,7289
Bronx,048400,3758
Bronx,050400,5
Bronx,051600,4520
Brooklyn,000100,5498
Brooklyn,000200,1303
Brooklyn,000301,5036
Brooklyn,000501,3415
Brooklyn,000502,2739
Brooklyn,000700,3682
Brooklyn,000900,2178
Brooklyn,001100,117
Brooklyn,001300,2533
Brooklyn,001500,2726
Brooklyn,001800,1442
Brooklyn,002000,1574
Brooklyn,002100,1134
Brooklyn,002200,4240
Brooklyn,002300,4314
Brooklyn,002901,4300
Brooklyn,003000,1873
Brooklyn,003100,2870
Brooklyn,003300,2348
Brooklyn,003400,2894
Brooklyn,003500,1477
Brooklyn,003600,3940
Brooklyn,003700,357
Brooklyn,003800,1607
Brooklyn,003900,2119
Brooklyn,004100,3251
Brooklyn,004300,2942
Brooklyn,004400,2590
Brooklyn,004500,3444
Brooklyn,004600,1217
Brooklyn,004700,1166
Brooklyn,004900,2593
Brooklyn,005000,2401
Brooklyn,005100,2093
Brooklyn,005201,1781
Brooklyn,005202,2453
Brooklyn,005300,1838
Brooklyn,005400,3205
Brooklyn,005601,2515
Brooklyn,005602,1523
Brooklyn,005800,3308
Brooklyn,005900,1099
Brooklyn,006000,2907
Brooklyn,006200,3062
Brooklyn,006300,1821
Brooklyn,006400,3484
Brooklyn,006500,5136
Brooklyn,006600,3631
Brooklyn,006700,3500
Brooklyn,006800,4781
Brooklyn,006900,3340
Brooklyn,007000,2549
Brooklyn,007100,4609
Brooklyn,007200,1858
Brooklyn,007400,5330
Brooklyn,007500,4454
Brooklyn,007600,4440
Brooklyn,007700,3905
Brooklyn,007800,5018
Brooklyn,008000,4360
Brooklyn,008200,4072
Brooklyn,008400,3229
Brooklyn,008500,7278
Brooklyn,008600,0
Brooklyn,008800,3410
Brooklyn,009000,2533
Brooklyn,009200,5160
Brooklyn,009400,4855
Brooklyn,009600,5900
Brooklyn,009800,6121
Brooklyn,010000,6271
Brooklyn,010100,4095
Brooklyn,010200,4616
Brooklyn,010400,5530
Brooklyn,010600,5460
Brooklyn,010800,4773
Brooklyn,011000,2017
Brooklyn,011200,6242
Brooklyn,011400,4116
Brooklyn,011600,4259
Brooklyn,011700,2788
Brooklyn,011800,2009
Brooklyn,011900,1555
Brooklyn,012000,1253
Brooklyn,012100,1796
Brooklyn,012200,5045
Brooklyn,012600,2522
Brooklyn,012700,3405
Brooklyn,012801,2006
Brooklyn,012901,2239
Brooklyn,012902,2125
Brooklyn,013000,4733
Brooklyn,013100,3994
Brooklyn,013200,2165
Brooklyn,013300,3667
Brooklyn,013400,3890
Brooklyn,013500,2830
Brooklyn,013600,3924
Brooklyn,013700,2972
Brooklyn,013800,3206
Brooklyn,013900,3832
Brooklyn,014000,2012
Brooklyn,014100,2737
Brooklyn,014200,3238
Brooklyn,014300,3682
Brooklyn,014500,4326
Brooklyn,014700,1980
Brooklyn,014800,1222
Brooklyn,014900,4774
Brooklyn,015000,1564
Brooklyn,015100,3390
Brooklyn,015200,2240
Brooklyn,015300,2955
Brooklyn,015400,0
Brooklyn,015500,3312
Brooklyn,015700,4143
Brooklyn,015900,5091
Brooklyn,016000,4246
Brooklyn,016100,2568
Brooklyn,016200,1886
Brooklyn,016300,3175
Brooklyn,016400,1173
Brooklyn,016500,4847
Brooklyn,016600,2042
Brooklyn,016700,4534
Brooklyn,016800,1425
Brooklyn,016900,4800
Brooklyn,017000,2882
Brooklyn,017100,3449
Brooklyn,017200,2892
Brooklyn,017400,1751
Brooklyn,017500,28
Brooklyn,017600,2239
Brooklyn,017700,11
Brooklyn,017800,2579
Brooklyn,017900,3379
Brooklyn,018000,2803
Brooklyn,018100,3895
Brooklyn,018200,3039
Brooklyn,018300,2502
Brooklyn,018400,1977
Brooklyn,018501,4803
Brooklyn,018600,1848
Brooklyn,018700,1228
Brooklyn,018800,2615
Brooklyn,019000,4595
Brooklyn,019100,2816
Brooklyn,019200,2320
Brooklyn,019300,5214
Brooklyn,019400,3070
Brooklyn,019500,3821
Brooklyn,019600,3849
Brooklyn,019700,3577
Brooklyn,019800,1710
Brooklyn,019900,2946
Brooklyn,020000,1940
Brooklyn,020100,3632
Brooklyn,020200,1758
Brooklyn,020300,1192
Brooklyn,020400,1960
Brooklyn,020500,2444
Brooklyn,020600,2192
Brooklyn,020700,4659
Brooklyn,020800,2657
Brooklyn,021000,3307
Brooklyn,021100,1533
Brooklyn,021200,3638
Brooklyn,021300,4735
Brooklyn,021400,1811
Brooklyn,021500,5617
Brooklyn,021600,3601
Brooklyn,021700,3843
Brooklyn,021800,3785
Brooklyn,021900,3820
Brooklyn,022000,4452
Brooklyn,022100,3928
Brooklyn,022200,4719
Brooklyn,022400,4943
Brooklyn,022600,2544
Brooklyn,022700,3406
Brooklyn,022800,3426
Brooklyn,022900,3153
Brooklyn,023000,4176
Brooklyn,023100,2774
Brooklyn,023200,6059
Brooklyn,023300,4875
Brooklyn,023400,4710
Brooklyn,023500,1953
Brooklyn,023600,5222
Brooklyn,023800,4470
Brooklyn,024000,4634
Brooklyn,024100,1564
Brooklyn,024200,2808
Brooklyn,024300,3954
Brooklyn,024400,3069
Brooklyn,024500,3555
Brooklyn,024600,2911
Brooklyn,024700,2349
Brooklyn,024800,2448
Brooklyn,024900,4240
Brooklyn,025000,1532
Brooklyn,025100,3779
Brooklyn,025200,4654
Brooklyn,025300,2528
Brooklyn,025400,3379
Brooklyn,025500,5077
Brooklyn,025600,2956
Brooklyn,025700,2026
Brooklyn,025800,4329
Brooklyn,025901,1887
Brooklyn,025902,3595
Brooklyn,026000,3463
Brooklyn,026100,4445
Brooklyn,026200,2364
Brooklyn,026300,1877
Brooklyn,026400,4440
Brooklyn,026500,3717
Brooklyn,026600,3399
Brooklyn,026700,4151
Brooklyn,026800,4017
Brooklyn,026900,2809
Brooklyn,027000,2337
Brooklyn,027100,2810
Brooklyn,027200,3449
Brooklyn,027300,3061
Brooklyn,027400,2885
Brooklyn,027500,4171
Brooklyn,027600,3331
Brooklyn,027700,4001
Brooklyn,027800,2758
Brooklyn,027900,3791
Brooklyn,028000,1685
Brooklyn,028100,3579
Brooklyn,028200,2890
Brooklyn,028300,3624
Brooklyn,028400,3826
Brooklyn,028501,1422
Brooklyn,028502,2921
Brooklyn,028600,4984
Brooklyn,028700,2755
Brooklyn,028800,3503
Brooklyn,028900,3432
Brooklyn,029000,3802
Brooklyn,029100,2777
Brooklyn,029200,2442
Brooklyn,029300,3277
Brooklyn,029400,2351
Brooklyn,029500,3745
Brooklyn,029600,5343
Brooklyn,029700,3349
Brooklyn,029800,3355
Brooklyn,029900,1657
Brooklyn,030000,3576
Brooklyn,030100,2650
Brooklyn,030200,3711
Brooklyn,030300,3409
Brooklyn,030400,3966
Brooklyn,030500,4777
Brooklyn,030600,1918
Brooklyn,030700,3734
Brooklyn,030800,1691
Brooklyn,030900,1593
Brooklyn,031100,2650
Brooklyn,031300,4782
Brooklyn,031400,4508
Brooklyn,031500,5371
Brooklyn,031701,3673
Brooklyn,031702,3579
Brooklyn,031900,3850
Brooklyn,032100,5612
Brooklyn,032300,3763
Brooklyn,032500,6641
Brooklyn,032600,7247
Brooklyn,032700,3868
Brooklyn,032800,3304
Brooklyn,032900,5856
Brooklyn,033000,5288
Brooklyn,033100,4725
Brooklyn,033300,4491
Brooklyn,033500,3120
Brooklyn,033600,5159
Brooklyn,033700,4541
Brooklyn,033900,4541
Brooklyn,034000,2511
Brooklyn,034100,2779
Brooklyn,034200,7462
Brooklyn,034300,5434
Brooklyn,034500,2529
Brooklyn,034700,3140
Brooklyn,034800,2029
Brooklyn,034900,5572
Brooklyn,035000,3584
Brooklyn,035100,5052
Brooklyn,035200,1267
Brooklyn,035300,5558
Brooklyn,035400,5622
Brooklyn,035500,5433
Brooklyn,035601,2931
Brooklyn,035602,5233
Brooklyn,035700,2295
Brooklyn,035900,5257
Brooklyn,036001,3475
Brooklyn,036002,4230
Brooklyn,036100,2533
Brooklyn,036200,5084
Brooklyn,036300,3664
Brooklyn,036400,2641
Brooklyn,036501,2349
Brooklyn,036502,996
Brooklyn,036600,4449
Brooklyn,036700,1373
Brooklyn,036900,4912
Brooklyn,037000,4062
Brooklyn,037100,3982
Brooklyn,037300,4199
Brooklyn,037401,4384
Brooklyn,037402,4827
Brooklyn,037500,2831
Brooklyn,037700,3827
Brooklyn,037900,2827
Brooklyn,038100,4849
Brooklyn,038200,6161
Brooklyn,038300,3999
Brooklyn,038500,3628
Brooklyn,038600,3377
Brooklyn,038700,3581
Brooklyn,038800,3804
Brooklyn,038900,2287
Brooklyn,039000,2192
Brooklyn,039100,1467
Brooklyn,039200,2789
Brooklyn,039300,2800
Brooklyn,039400,2526
Brooklyn,039500,3636
Brooklyn,039600,2030
Brooklyn,039700,3237
Brooklyn,039800,2391
Brooklyn,039900,3777
Brooklyn,040000,2948
Brooklyn,040100,3157
Brooklyn,040200,2564
Brooklyn,040300,2981
Brooklyn,040400,2109
Brooklyn,040500,1335
Brooklyn,040600,3089
Brooklyn,040700,0
Brooklyn,040800,2921
Brooklyn,040900,3507
Brooklyn,041000,1749
Brooklyn,041100,2837
Brooklyn,041200,2708
Brooklyn,041300,3249
Brooklyn,041401,1390
Brooklyn,041402,1918
Brooklyn,041500,3638
Brooklyn,041600,2483
Brooklyn,041700,3197
Brooklyn,041800,2527
Brooklyn,041900,3908
Brooklyn,042000,2256
Brooklyn,042100,3481
Brooklyn,042200,3674
Brooklyn,042300,2634
Brooklyn,042400,3692
Brooklyn,042500,2260
Brooklyn,042600,3823
Brooklyn,042700,5599
Brooklyn,042800,3655
Brooklyn,042900,5829
Brooklyn,043000,3291
Brooklyn,043100,5276
Brooklyn,043200,3860
Brooklyn,043300,3668
Brooklyn,043400,3529
Brooklyn,043500,4494
Brooklyn,043600,4020
Brooklyn,043700,5027
Brooklyn,043800,2674
Brooklyn,043900,3778
Brooklyn,044000,2726
Brooklyn,044100,5630
Brooklyn,044200,2739
Brooklyn,044300,5210
Brooklyn,044400,3201
Brooklyn,044500,4576
Brooklyn,044600,1819
