latitude,longitude,total_students
40.5817516,-73.839133,642
40.6708751,-73.8455848704655,598
40.5817516,-73.839133,354
40.5817516,-73.839133,312
40.6950522,-73.8339526,2225
40.6805967,-73.8440349,2838
40.68925465,-73.8411508081412,946
40.7085191,-73.8557976501294,605
40.7297049,-73.8450936,3800
40.7085191,-73.8557976501294,1139
40.7009494,-73.7981925,419
40.704611,-73.7970069,565
40.695726,-73.7357619,82
40.6872019,-73.7490361,465
40.70571435,-73.7527637499889,563
40.6872019,-73.7490361,480
40.6872019,-73.7490361,498
40.6872019,-73.7490361,522
40.7116032,-73.7709482996911,336
40.682539,-73.8071559,345
40.695726,-73.7357619,416
40.695726,-73.7357619,513
40.7566166,-73.9326948053319,119
40.7713666,-73.9243065914417,576
40.7418331,-73.9502323,470
40.76538245,-73.9330317683768,2522
40.75609495,-73.9251900033965,756
40.7486237,-73.9464428,920
40.5817018,-74.1592209864596,527
40.5817018,-74.1592209864596,467
40.60913615,-74.1045874956246,1272
40.5700167,-74.1069961,2734
40.6344466,-74.1420753,1794
40.6454497,-74.0818295570202,2396
40.5279325,-74.1922316,3957
40.5973266,-74.1251424,3461
40.642803,-74.0794980345748,632
40.5680556,-74.116111,1235
40.6970899,-73.9113817,203
40.6970899,-73.9113817,352
40.69470855,-73.9293032398049,513
40.6970899,-73.9113817,416
40.6970899,-73.9113817,313
40.6974555625,-73.91320853125,333
40.6954245,-73.9276456729749,362
