ntacode,"<10,000","10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-74,999","75,000-99,999","100,000-149,999","150,000-199,999",">200,000"
SI28,784.0,355.0,484.0,424.0,649.0,1056.0,940.0,921.0,594.0,162.0
SI35,480.0,140.0,558.0,484.0,572.0,943.0,963.0,1058.0,442.0,663.0
SI37,977.0,521.0,1078.0,758.0,1067.0,1193.0,1249.0,1490.0,526.0,256.0
SI05,569.0,386.0,977.0,1015.0,1289.0,2107.0,2425.0,2271.0,1397.0,909.0
SI14,434.0,302.0,396.0,372.0,586.0,844.0,743.0,983.0,412.0,366.0
SI24,397.0,384.0,594.0,705.0,1254.0,1718.0,1614.0,2245.0,1143.0,1042.0
SI36,492.0,489.0,851.0,754.0,993.0,1556.0,971.0,1372.0,839.0,435.0
SI45,333.0,250.0,630.0,651.0,929.0,1171.0,1123.0,1452.0,848.0,494.0
SI01,459.0,274.0,498.0,490.0,814.0,1500.0,1517.0,2112.0,1192.0,930.0
SI11,293.0,185.0,520.0,392.0,665.0,1388.0,1087.0,1426.0,743.0,923.0
SI25,274.0,214.0,650.0,655.0,910.0,1378.0,1083.0,1675.0,708.0,647.0
SI32,271.0,345.0,220.0,410.0,516.0,1237.0,962.0,1421.0,755.0,808.0
SI48,315.0,186.0,472.0,429.0,543.0,1468.0,1632.0,2256.0,829.0,675.0
SI54,363.0,476.0,834.0,868.0,1156.0,2256.0,2747.0,3653.0,1768.0,1168.0
SI99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
